Country,Year,Magnitude
JAPAN,2000,6.1
JAPAN,2000,6.5
PAPUA NEW GUINEA,2000,8
EL SALVADOR,2001,7.7
PERU,2001,8.4
TAIWAN,2001,6.8
VANUATU,2002,7.2
PHILIPPINES,2002,7.5
JAPAN,2002,6.4
TAIWAN,2002,7.1
PAPUA NEW GUINEA,2002,7.6
INDIA,2002,6.5
INDONESIA,2002,7.6
SOLOMON ISLANDS,2003,7.3
MEXICO,2003,7.5
ALGERIA,2003,6.8
ALGERIA,2003,5.7
NEW ZEALAND,2003,7.2
JAPAN,2003,8.3
JAPAN,2003,7
USA,2003,7.8
NEW CALEDONIA,2003,6.1
INDONESIA,2004,6.7
JORDAN,2004,5.3
JAPAN,2004,7.2
JAPAN,2004,7.4
CANADA,2004,6.6
INDONESIA,2004,7.5
GUADELOUPE,2004,6.3
JAPAN,2004,7
AUSTRALIA,2004,8.1
INDONESIA,2004,9.1
JAPAN,2005,6.6
GUADELOUPE,2005,5.8
INDONESIA,2005,8.6
INDONESIA,2005,6.7
USA,2005,7.2
JAPAN,2005,7.2
JAPAN,2005,7
INDONESIA,2006,6.7
TONGA,2006,7.9
INDONESIA,2006,7.7
SAMOA,2006,6.9
USA,2006,6.7
RUSSIA,2006,8.3
TAIWAN,2006,7
RUSSIA,2007,8.1
VANUATU,2007,7.1
JAPAN,2007,6.7
SOLOMON ISLANDS,2007,8.1
CHILE,2007,6.2
JAPAN,2007,6.6
RUSSIA,2007,6.2
USA,2007,6.7
PERU,2007,8
SOLOMON ISLANDS,2007,7.2
INDONESIA,2007,8.4
NEW ZEALAND,2007,7.4
CHILE,2007,7.7
MARTINIQUE,2007,7.4
KERMADEC ISLANDS (NEW ZEALAND),2007,7.8
INDONESIA,2008,6.5
NEW CALEDONIA,2008,7.3
VANUATU,2008,6.4
CHINA,2008,7.9
JAPAN,2008,6.9
JAPAN,2008,6.8
INDONESIA,2008,7.3
INDONESIA,2009,7.6
INDONESIA,2009,7.3
RUSSIA,2009,7.4
INDONESIA,2009,7.2
TONGA,2009,7.6
HONDURAS,2009,7.3
NEW ZEALAND,2009,7.8
INDIA,2009,7.5
JAPAN,2009,6.4
INDONESIA,2009,6.7
SAMOA,2009,8
INDONESIA,2009,7.5
VANUATU,2009,7.6
SOLOMON ISLANDS,2010,6.6
SOLOMON ISLANDS,2010,7.1
SOLOMON ISLANDS,2010,6.8
HAITI,2010,7
JAPAN,2010,7
CHILE,2010,8.8
CHILE,2010,6.9
INDONESIA,2010,7.8
INDIA,2010,7.5
VANUATU,2010,7.2
USA TERRITORY,2010,6.9
INDONESIA,2010,7.8
JAPAN,2010,7.4
VANUATU,2010,7.3
VANUATU,2011,6.5
CHILE,2011,6.8
JAPAN,2011,7.5
JAPAN,2011,9
JAPAN,2011,7.1
USA,2011,7.3
NEW ZEALAND,2011,7.6
JAPAN,2011,7
VANUATU,2011,7.1
VANUATU,2011,7
USA,2011,6.8
KERMADEC ISLANDS (NEW ZEALAND),2011,7.4
VANUATU,2012,7
JAPAN,2012,6.9
MEXICO,2012,7.4
INDONESIA,2012,8.6
INDONESIA,2012,8.2
VANUATU,2012,6.3
EL SALVADOR,2012,7.3
PHILIPPINES,2012,7.6
COSTA RICA,2012,7.6
CANADA,2012,7.7
GUATEMALA,2012,7.3
JAPAN,2012,7.2
USA,2013,7.5
SOLOMON ISLANDS,2013,7.9
SOLOMON ISLANDS,2013,7
RUSSIA,2013,7.2
NEW ZEALAND,2013,6.5
PAKISTAN,2013,7.7
JAPAN,2013,7.1
