Year,Manufacturer,Model,MSRP,Displacement,Engine Type,Cooling,Fuel System,Ignition,Starting System,Transmission,Wheel Base,Seat Height,Front Suspension,Rear Suspension,Front Brake,Rear Brake,Front Tire,Rear Tire,Fuel Capacity,Dry Weight,Bore,Stroke,Ratio,Weight,Rake,Trail,Tank,Air-Cooled
2013,Honda,CRF450X,8440,449,"Single cylinder, four stroke, Unicam, four valve, 35 mm intake valve, 30 mm exhaust",Liquid-Cooled,Keihin 40 mm flat-slide carburetor with Throttle Position Sensor (TPS),CD with electronic advance and lighting coil,Electric and Kick Start,Wide-ratio five-speed,58.3,37.9,47mm inverted Showa cartridge fork w/16-position rebound 16 position compression,Pro-Link Showa single shock with adjustable spring-preload,Single 240 mm disc with twin-piston caliper,Single 240 mm disc,80/100-21,110/100-18,"1.9 gallons, including 0..4 gallon reserve",269 lbs. (Wet),96,62,12,269,,4.3,1.9,Liquid
2013,Honda,CRF80F,2470,80,"Single cylinder, 4-stroke, SOHC, 2-Valve",Air-Cooled,20 mm piston-valve carburator,CD,Kick Start,Five-Speed,47.6,28.9,27.0 mm leading-axle Showa fork; 5.5-inch travel,Pro-Link Showa single shock; 4.3 inches travel,Drum,Drum,2.50-16,3.60-14,"1.3 gallons, including 0.3-gallon reserve",163 lbs. (Wet),47.5,45,9.7,163,28.02,2.9,1.3,Air
2013,Husqvarna,CR125,6299,124.8,"Single-cylinder, two stroke",NA,Mikuni TMX38 carburetor,Electronic with variable advance,Kick,Six Speed,57.9,38.8,"Kayaba 48 mm fork, closed-cartridge","Sachs single shock, fully adjustable",Brembo hydraulic brake system and braking rotors,Brembo hydraulic brake system and braking rotors,80/100-21,100/90-19,1.85 gal.,207.2 lbs.,54,54.5,8.8,207.2,26.5,4.37,1.85,
2013,Husqvarna,TC 449,7999,449.6,"Four-stroke, single-cylinder, Four titanium valves",Liquid-Cooled,EFI w Keihin D46,CDI electronic with variable advance,Electric,Five-Speed,58.7,37.9,"Kayaba 48 mm fork, closed-cartridge","Kayaba single shock, fully adjustable",Brembo brake hydraulics and Braking rotors,Brembo brake hydraulics and Braking rotors,80/100-21,110/90-19,2.10 gal.,238.1 gal.,98,59.6,13,238.1,25.8,3.98,2.1,Liquid
2013,Husqvarna,TE449,8599,449,"Single cylinder, 4-stroke, DOHC",NA,EFI w Keihin D46,CDI electronic w/ adjustable adv.,Electric,6 speed,58.7,37.5,48 mm Kayaba open-cartridge,Kayaba shock,NA,NA,90/90-21,140/80-18,2.25 gal.,255.7 lbs. (Wet),98,59.6,12,255.7,25.8,3.98,2.25,
2013,Husqvarna,TE511,8999,477.5,"Single-cylinder, four-stroke",Fan-Cooled,EFI w Keihin D46,CDI electronic,Electric,Six Speed,58.7,37.5,"Kayaba 48 mm fork, open-cartridge","Kayaba single shock, fully adjustable",Brembo hydraulic brake system and braking rotors,Brembo hydraulic brake system and braking rotors,90/90-21,140/80-18,2.51 gal.,255.7 lbs.,101,59.6,12,255.7,25.8,3.98,2.51,Liquid
2013,Husqvarna,TC250R,7199,249.5,"Single-cylinder, four-stroke, four titanium valves operated by DOHC",NA,EFI w Keihin D42,CDI electronic with adjustable advance,Kick,Five-Speed,57.5,38.8,"Kayaba 48 mm fork, closed-cartridge","Kayaba single shock, fully adjustable",Brembo hydraulic brake system and braking rotors,Brembo hydraulic brake system and braking rotors,80/100-21,100/90-19,1.7 gal.,222.7 lbs.,79,50.9,13.5,222.7,26.5,4.37,1.7,
2013,Husqvarna,WR125,6299,124.8,"Single-cylinder, two-stroke, Power valve with mechanical control",Liquid-Cooled,Mikuni TMX38 carburetor,Electronic with adjustable advance,Kick,Six Speed,57.7,38.4,"Kayaba 48 mm fork, open-cartridge","Sachs single shock, fully adjustable",Brembo brake hydraulics and Braking rotors,Brembo brake hydraulics and Braking rotors,90/90-21,120/90-18,2.5 gal.,216.1 lbs.,54,54.5,8.8,216.1,26.5,4.33,2.5,Liquid
2013,Husqvarna,WR250,6699,249.3,"Single-cylinder, two-stroke",NA,Mikuni TMX38 carburetor,CDI electronic with variable advance,Kick,5 speed,58.5,38.7,"Kayaba 48 mm fork, open-cartridge","Sachs single shock, fully adjustable",NA,NA,90/90-21,140/80-18,2.5 gal.,229.3 lbs.,66.4,72,8.4,229.3,,3.93,2.5,
2013,Husqvarna,TXC310R,7999,302.4,"Single-cylinder, four-stroke, Four titanium valves operated by DOHC",Liquid-Cooled,EFI w Keihin D42,Digital CDI,Electric/Kick,Six Speed,57.9,37.4,"Kayaba 48 mm fork, closed-cartridge","Kayaba single shock, fully adjustable",Brembo hydraulic brake system and braking rotors,Brembo hydraulic brake system and braking rotors,80/100-21,110/100-18,2.25 gal.,231.5 lbs.,82,57.4,13,231.5,26.5,4.17,2.25,Liquid
2013,Husqvarna,TXC250R,7599,249.5,"Single-cylinder, four-stroke, Four valves operated by DOHC",Liquid-Cooled,EFI w Keihin D42,Digital CDI with variable advance,Electric / Kick,Six Speed,57.9,37.4,"Kayaba 48 mm fork, closed-cartridge","Kayaba single shock, fully adjustable",Brembo brake hydraulics and Braking rotors,Brembo brake hydraulics and Braking rotors,80/100-21,110/100-18,2.25 gal.,231.5 lbs.,79,50.9,13.5,231.5,26.5,4.17,2.25,Liquid
2013,Husqvarna,WR300,7099,293.1,"Single-cylinder, two-stroke",NA,Mikuni TMX38 carburetor,CDI electronic with variable advance,Kick,Five-speed,58.5,38.7,"Kayaba 48 mm fork, open-cartridge","Sachs single shock, fully adjustable",NA,NA,90/90-21,140/80-18,2.5 gal.,229.3 lbs.,72,72,6.9,229.3,,3.93,2.5,
2013,Kawasaki,KLX110L,2399,111,"Four-stroke, SOHC, two-valve single cyllinder",Air-Cooled,Mikuni PB18,CDI,Push Button Electric,Four-speed,42.3,28.7,30 mm hydraulic telescopic fork / 5.5,Swingarm with single hydraulic shock / 5.2,Mechanical Drum,Mechanical Drum,2.50x14,3.00x12,1.0 gal.,168 lbs. (Wet),53,50.6,9.5,168,24.2,1.9,1,Air
2013,Kawasaki,KLX110,2249,111,"Four-stroke, SOHC, two-valve single cylinder",Air-Cooled,Mikuni PB18,CDI,Electric Push Button,Four-speed with automatic clutch,42.3,26.8,30 mm hydraulic telescopic fork / 4.3,Swingarm with single hydraulic shock / 4.3,Mechanical Drum,Mechanical Drum,2.50x14,3.00x12,1.0 gal.,168 lbs. (Wet),53,50.6,9.5,168,24.8,2,1,Air
2013,Kawasaki,KLX140,2999,144,"Four-stroke, SOHC, two-valve single cylinders",Air-Cooled,Keihin PB20,CDi,Electric,Five-speed with wet multi-disc manual clutch,49.6,30.7,33 mm telescopic fork / 7.1,UNI-TRAK linkage system and single shock wi/5-way preload adjustability / 7.1,Single 220 mm petal disc with a dual-piston caliper,Single 186 mm petal disc with single-piston caliper,70/100-17,90/100-14,1.5 gal.,205.0 lbs. (Wet),58,54.4,9.5,205,,3.3,1.5,Air
2013,Kawasaki,KX100,4249,99,Two-stroke single with KIPS,Liquid-Cooled,Keihin PWK28,Digital CDI,NA,Six-speed,50.8,34.3,36 mm inverted telescopic cartridge fork with 18-way compression damping,Uni-Trak single shock system w/4-way compression and 18-way rebound damping,Hydraulic disc,Disc,70/100x19,90/100x16,1.5 gal.,156.5,52.5,45.8,9.6,156.5,,4.1,1.5,Liquid
2013,Kawasaki,KX250F,7599,249,4-stroke single with DOHC and four-valve cylinder head,Liquid-Cooled,DFI with 43 mm Keihin throttle body and dual injectors,Digital DC-CDI,NA,Five-speed with wet multi-disc manual clutch,58.1,37.2,48 mm inverted Showa SFF telescopic fork with 40-way spring preload adjustability,Uni-Trak linkage system and Showa shock with 9 position low-speed,Single semi-floating 250 mm petal disc with dual piston caliper,Single 240 mm petal disc with single-piston caliper,80/100-21,100/90-19,233.6 lbs.,233.6 lbs. (Wet),77,53.6,13.8,233.6,,,233.6,Liquid
2013,Kawasaki,KX450F,8699,449,Four-stroke single with DOHC and four-valve cylinder head,Liquid-Cooled,DFI with 43 mm Keihin throttle body,Digital DC-CDI,NA,Five-speed,58.3,37.6,"48 mm inverted, Kayaba PSF with DLC coated sliders, 22-position compression",UNI-TRAK linkage system and Kayaba shock with 50 mm piston,Single rigid-mount 250mm petal disc with dual-piston caliper,Single 240 mm petal disc with single-piston caliper,80/100-21,120/80-19,1.64 gal.,248.0 lbs. (Wet),96,62.1,12.5,248,26.9,4.4,1.64,Liquid
2013,Kawasaki,KLX140L,3299,144,"Four-stroke, SOHC, two-valve single cylinder",Air-Cooled,Keihin PB20,CDI,Electric,Five-speed with wet multi-disc manual clutch,50.6,31.5,27.0 mm leading-axle Showa fork; 5.5-inch travel,Uni-Trak linkage system and single shock with piggyback reservoir,Single 220 mm petal disc with a dual-piston caliper,Single 186 mm petal disc with single-piston caliper,70/100-19,90/100-16,1.5 gal.,209.4 lbs. (Wet),58,54.4,9.5,209.4,,3.8,1.5,Air
2013,Kawasaki,KX65,3649,64.7,Two-stroke single,Liquid-Cooled,Mikuni VM24SS,Digital CDI,NA,Six Speed,44.1,29.9,33 mm leading axle conventional fork with four-way rebound damping / 8.3,Uni-Trak single shock system with four-way rebound damping,Hydraulic disc,Disc,60/100x14,80/100x12,1.0 gal.,132.2 lbs. (Wet),44.5,41.6,8.4,132.2,,2.7,1,Liquid
2013,Kawasaki,KX85,4049,84,Two-stroke single with KIPS,Liquid-Cooled,Keihin PWK28,Digital CDI,NA,Six Speed,49.4,33.1,36 mm inverted telescopic cartridge fork with 18-way compression damping,Uni-Trak single-shock system w/4-way compression and 16-way rebound damping,Hydraulic disc,Disc,70/100x17,90/100x14,1.5 gal.,152.1 lbs. (Wet),48.5,45.8,10,152.1,,3.5,1.5,Liquid
2013,KTM,125 SX,6449,124.8,1-cylinder 2-stroke engine,Liquid-Cooled,NA,"Contactless controlled fully electronic ignition with digital adjustment, type Kokusan",NA,"6-gear, claw shifted",58.27,39.06,WP Suspension Up Side Down 4860 MXMA  11.81 inch travel,WP Suspension 5018 BAVP D 12.99 inch travel,"Disc brakes, brake calipers on floating bearings","Disc brakes, brake calipers on floating bearings",NA,NA,1.98 gal.,200.2 lbs.,54,54.5,,200.2,63.5,,1.98,Liquid
2013,KTM,150 SX,6549,143.6,1-cylinder 2-stroke engine,Liquid-Cooled,NA,"Contactless controlled fully electronic ignition with digital adjustment, type Kokusan",NA,"6-gear, claw shifted",58.27,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings","Disc brakes, brake calipers on floating bearings",NA,NA,1.98 gal.,200.2 lbs.,56,58.4,,200.2,63.5,,1.98,Liquid
2013,KTM,250 SX,7099,249,1-cylinder 2-stroke engine,Liquid-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Kick starter,"5-gear, claw shifted",58.86,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings","Disc brakes, brake calipers on floating bearings",Pirelli Scorpion,Pirelli Scorpion,1.98 gal.,214 lbs.,66.4,72,,214,63.5,,1.98,Liquid
2013,KTM,200 XC-W,7499,193,1-cylinder 2-stroke engine,Liquid-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Kick starter and electric starter,"6-gear, claw shifted",57.91,37.8,WP Suspension Up Side Down 4860 MXMA PA,WP Suspension PDS 5018 D,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",NA,NA,2.6 gal.,209 lbs.,64,60,,209,63.5,,2.6,Liquid
2013,KTM,150 XC,7199,143.6,1-cylinder 2-stroke engine,"water-cooled, with reed intake and exhaust",Fuel injection,Contactless controlled fully electronic ignition with digital ignition adjustment,Kick starter,"6-gear, claw shifted",58.2,39.06,WP Suspension Up Side Down 4860 MXMA  300 mm,WP Suspension 5018 BAVP D 317 mm,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",NA,NA,2.6 gal.,207.7 lbs.,56,58.4,,207.7,63.5,,2.6,Liquid
2013,KTM,250 SX-F,7899,249.91,1-cylinder 4-stroke engine,Liquid-Cooled,Keihin with electronic fuel injection,Contactless controlled fully electronic ignition with digital ignition adjustment,E-Starter,NA,58.86,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings","Disc brakes, brake calipers on floating bearings",Dunlop GEOMAX MX51,Dunlop GEOMAX MX51,1.98 gal.,229.7 lbs.,78,52.3,,229.7,63.5,,1.98,Liquid
2013,KTM,250 XC,8199,249,1-cylinder 2-stroke engine,Liquid-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Kick starter and electric starter,"6-gear, claw shifted",58.86,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",Dunlop GEOMAX MX51,Dunlop GEOMAX MX51,3.04 gal.,229 lbs.,66.4,72,,229,63.5,,3.04,Liquid
2013,KTM,250 XC-W,8199,249,1-cylinder 2-stroke engine,Liquid-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Kick starter and electric starter,"6-gear, claw shifted",58.35,37.8,WP Suspension Up Side Down 4860 MXMA PA,WP Suspension PDS 5018 D,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",Dunlop Geomax MX51,Dunlop Geomax MX51,2.6 gal.,225 lbs.,72,66.4,,225,63.5,,2.6,Liquid
2013,KTM,250 XC-F,8499,249.91,1-cylinder 4-stroke engine,Liquid-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric,NA,58.86,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",NA,NA,2.51 gal.,234 lbs.,78,52.3,,234,63.5,,2.51,Liquid
2013,KTM,300 XC,8299,293,1-cylinder 2-stroke engine,Liquid-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Kick starter and electric starter,"6-gear, claw shifted",58.86,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",Dunlop GEOMAX MX51,Dunlop GEOMAX MX51,3.04 gal.,229 lbs.,72,72,,229,63.5,,3.04,Liquid
2013,KTM,250 XCF-W,8499,248.6,1-cylinder 4-stroke engine,"Water cooling, permanent circulation of coolant by water pump",Fuel Injected,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric starter/kickstarter,NA,58.35,38.19,NA,NA,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",Dunlop GEOMAX MX51,Dunlop GEOMAX MX51,NA,234 lbs.,76,54.8,,234,63.5,,,Liquid
2013,KTM,300 XC-W,8299,293,1-cylinder 2-stroke engine,Liquid-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Kick starter and electric starter,"6-gear, claw shifted",58.35,37.8,WP Suspension Up Side Down 4860 MXMA PA,WP Suspension PDS 5018 D,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",Dunlop GEOMAX MX51,Dunlop GEOMAX MX51,2.6 gal.,225 lbs.,72,72,,225,63.5,,2.6,Liquid
2013,KTM,350 SX-F,8699,349.7,1-cylinder 4-stroke engine,Liquid-Cooled,Keihin electronic fuel-injection,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric,"5-gear, claw shifted",58.86,39.06,WP 48 mm fork; 2-way adjustable compression & rebound damping; 11.8  travel,Linkage-equipped WP 5018 gas charged shock absorber,"260 mm disc with Brembo dual-piston caliper, stainless-steel brake line","220 mm disc with Brembo single-piston caliper, stainless-steel brake line",Dunlop Geomax MX51 80/100-21,Dunlop Geomax MX51 110/90-19,1.98 gal.,231 lbs. (Wet),88,57.5,13.5,231,63.5,,1.98,Liquid
2013,KTM,450 SX-F,8999,449.3,1-cylinder 4-stroke engine,"Water cooling, permanent circulation of coolant by water pump",NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric starter Push Button,"5-gear, claw shifted",58.86,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings","Disc brakes, brake calipers on floating bearings",NA,NA,1.98 gal.,234.1 lbs.,95,63.4,,234.1,63.5,,1.98,Liquid
2013,KTM,350 XC-F,9199,349.7,1-cylinder 4-stroke engine,Liquid-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric,"6-gear, claw shifted",58.86,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",Dunlop GEOMAX MX51,Dunlop GEOMAX MX51,2.4 gal.,237.7 lbs.,88,57.5,,237.7,63.5,,2.4,Liquid
2013,KTM,50 SX,3799,49,2-stroke,Liquid-Cooled,NA,SELETTRA 2p D36,Kickstarter,"33:61 straight cut spur gear, Rigid 1-stage reduction gear",40.63,26.93,WP Suspension USD 35 8.07 inch travel,WP Suspension 3614 BAEM 7.28 inch travel,Disc brake with four-pot brake caliper,Disc brake with two-pot brake caliper,NA,NA,0.60 gal.,91.5 lbs.,39.5,40,,91.5,,,0.6,Liquid
2013,KTM,450 XC-F,9499,449.3,1-cylinder 4-stroke engine,Liquid-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric,"5-gear, claw shifted",58.86,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",NA,NA,2.4 gal.,241.6 lbs.,95,63.4,,241.6,63.5,,2.4,Liquid
2013,KTM,50 SX Mini,3299,49,1-cylinder 2-stroke engine,Liquid-Cooled,NA,SELETTRA 2p D36,Kickstarter,33:61 straight cut spur gear Rigid 1-stage reduction gear,35.95,21.97,"WP Suspension USD 35, 3.94 inch travel","WP Suspension 3614 BAEM, 6.73 inch travel",Disc brake with four-pot brake caliper,Disc brake with two-pot brake caliper,NA,NA,NA,89.3 lbs.,39.5,40,,89.3,67.4,,,Liquid
2013,KTM,450 XC-W,9499,449.3,1-cylinder 4-stroke engine,"Water, permanent circulation of coolant by water pump",Keihin Fuel Injection,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric starter/kick starter,NA,58.35,38.19,WP Suspension Up Side Down 4860 MXMA PA,WP Suspension PDS 5018 D,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",Dunlop GEOMAX MX51,Dunlop GEOMAX MX51,2.25 gal.,245 lbs.,95,63.4,,245,63.5,,2.25,Liquid
2013,KTM,350 EXC-F,9699,349.7,1-cylinder 4-stroke engine,Liquid-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Kick starter and electric starter,NA,58.35,38.19,WP Suspension Up Side Down 4860 MXMA PA,WP Suspension PDS 5018 D,"Disc brakes, brake calipers on floating bearings","Disc brakes, brake calipers on floating bearings",Maxxis Dual Sport,Maxxis Dual Sport,2.25 gal.,241.4 lbs.,88,57.5,,241.4,63.5,,2.25,Liquid
2013,KTM,500 EXC,9899,510.4,1-cylinder 4-stroke engine,"Water, permanent circulation of coolant by water pump",Fuel injection,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric starter/kick starter,NA,58.35,38.19,WP Suspension Up Side Down 4860 MXMA PA,WP Suspension PDS 5018 D,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",NA,NA,2.25 gal.,250.2 lbs.,95,72,,250.2,63.5,,2.25,Liquid
2013,KTM,350 XCF-W,9199,349.7,1-cylinder 4-stroke engine,"Water cooling, permanent circulation of coolant by water pump",Keihin Fuel Injection,Contactless controlled fully electronic ignition with digital ignition adjustment,Kick starter and electric starter,NA,58.35,38.19,WP Suspension Up Side Down 4860 MXMA PA,WP Suspension PDS 5018 D,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",Dunlop GEOMAX MX51,Dunlop GEOMAX MX51,2.25 gal.,236 lbs.,88,57.5,,236,63.5,,2.25,Liquid
2013,KTM,65 SX,4499,64.85,1-cylinder 2-stroke,Liquid-Cooled,NA,Non-contact controlled fully electronic ignition system with digital ignition adjustment,Kickstarter,"23:75 straight cut spur gear, 6-gear, claw shifted",44.76,29.53,"WP Suspension USD 35, 8.46 inch tracel","WP Suspension 3614 BAVP, 10.63 inch travel",Disc brake with four-pot brake caliper,Disc brake with two-pot brake caliper,NA,NA,0.97 gal.,122.4 lbs.,45,40.8,,122.4,64.5,,0.97,Liquid
2013,KTM,85 SX 17-14,5349,84.93,1-cylinder 2-stroke engine,Liquid-Cooled,NA,Moric Digital 2M1,Kick starter,"6-gear, claw shifted",50.79,.,"WP Suspension PDS 4618 BAVP D, 10.63 inch travel","WP Suspension PDS 4618 BAVP D, 11.81 inch travel",Disc brake with four-pot brake caliper,Disc brake with two-pot brake caliper,NA,NA,1.32 gal.,NA,47,48.95,,,66,,1.32,Liquid
2013,KTM,500 XC-W,9649,510,1-cylinder 4-stroke engine,"Water, permanent circulation of coolant by water pump",Fuel Injected,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric starter/kick starter,NA,58.35,38.19,WP Suspension Up Side Down 4860 MXMA PA,WP Suspension PDS 5018 D,"Disc brakes, brake calipers on floating bearings 260 mm","Disc brakes, brake calipers on floating bearings 220 mm",Dunlop GEOMAX MX51,Dunlop GEOMAX MX51,2.25 gal.,247 lbs.,95,72,,247,63.5,,2.25,Liquid
2013,Suzuki,DR-Z125,3099,124,"Four-stroke, OHC",Air-Cooled,MIKUNI VM20SS,Electronic ignition (CDI),Primary Kick,Five-speed constant mesh,49,30.5,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",Drum,Drum,"70/100-17 40M, tube type","90/100-14 49M, tube type",1.1 gal.,194 lbs. (Wet),57,48,9.5,194,,,1.1,Air
2013,Suzuki,DR-Z125L,3199,124,"Four-stroke, OHC",Air-Cooled,MIKUNI VM20SS,Electronic ignition (CDI),Primary Kick,Five-speed constant mesh,50,32,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",Disc,Drum,"70/100-19 42M, tube type","90/100-16 52M, tube type",1.1 gal.,196 lbs. (Wet),57,48,9.5,196,,,1.1,Air
2013,Suzuki,RM-Z250,7599,249,"4-stroke, single cylinder, DOHC",Liquid-Cooled,Fuel Injection,Electronic ignition (CDI),Primary kick,5-speed constant mesh,58.1,37.6,"Inverted telescopic, coil spring, oil damped","Link type, coil spring, oil damped",Disc brake,Disc brake,"80/100-21 51M, tube type","100/90-19 57M, tube type",1.7 gal.,235 lbs. (Wet),77,53.6,13.5,235,,,1.7,Liquid
2013,Suzuki,RM-Z450,8699,449,"4-stroke, single cylinder, DOHC",Liquid-Cooled,Fuel Injection,Electronic ignition (CDI),Primary kick,5-speed constant mesh,58.9,37.6,"Inverted telescopic, coil spring, oil damped","Link type, coil spring, oil damped",Disc brake,Disc brake,"80/100-21 51M, tube type","110/90-19 62M, tube type",1.6 gal.,249 lbs. (Wet),96,62.1,12.5,249,,,1.6,Liquid
2013,Yamaha,WR250F,6990,250,DOHC 4-stroke; 5 titanium valves,Liquid-Cooled,Keihin FCR 37,Electric,CDI,"Wide ratio, constant-mesh 5-speed; multiplate wet clutch",58.3,38.6,"Inverted fork; fully adjustable, 11.8-in travel","Single shock; fully adjustable, 12.2-in travel","Hydraulic single disc brake, 250 mm","Hydraulic single disc brake, 245 mm",80/100-21-51M,100/100-18-59M,2.1 gal,254 lbs.,77,53.6,12.5,254,,,2.1,Liquid
2013,Yamaha,YZ125,6290,124,2-stroke; reed-valve inducted,Liquid,Mikuni TMX 38,CDI,Kickstart,Constant-mesh 6-speed; multiplate wet clutch,56.8,39.3,"Speed-sensitive system inverted fork; fully adjustable, 11.8-in travel",Fully adjustable single shock; 12.4-in travel,"Hydraulic single disc brake, 250 mm","Hydraulic single disc brake, 245 mm",80/100-21,100/90-19,2.1 gal.,207 lbs.,54,54.5,8.6,207,,,2.1,Liquid
2013,Yamaha,YZ250,7150,249,2-stroke; reed-valve inducted,Liquid-Cooled,Keihin PWK38S,CDI,Primary Kick Start,Constant-mesh 5-speed; multiplate wet clutch,58.3,39.1,"Speed-sensitive system inverted fork; fully adjustable, 11.8-in travel",Fully adjustable single shock; 12.4-in travel,"Hydraulic single disc brake, 250 mm","Hydraulic single disc brake, 245 mm",80/100-21-51M,110/90-19-62M,2.1 gal.,227 lbs. (Wet),66.4,72,8.9,227,,,2.1,Liquid
2013,Yamaha,YZ250F,7290,250,DOHC 4-stroke; 5 titanium valves,Liquid-Cooled,Keihin FCR MX39,CDI,NA,Constant-mesh 5-speed; multiplate wet clutch,58.1,39,"KYB Speed-Sensitive System, inverted fork: fully adjustable, 11.8-in travel",KYB Fully adjustable single shock; 12.5-in travel,"Hydraulic single disc brake, 250 mm","Hydraulic single disc brake, 245 mm",80/100-21,100/90-19,1.6 gal.,227 lbs. (Wet),77,53.6,13.5,227,,,1.6,Liquid
2013,Yamaha,WR250R,6690,250,4-stroke; DOHC 4 valves,Liquid-Cooled,Fuel injection,TCI with direct ignition coil,Electric,Constant-mesh 6-speed; multiplate wet clutch,55.9,36.6,"Inverted fork; fully adjustable, 10.6  travel","Single shock; fully adjustable, 10.6  travel","Hydraulic single-disc brake, 250 mm","Hydraulic single-disc brake, 230 mm",80/100-21,120/80-18,2.0 gal.,295 lbs.,77,53.6,11.8,295,,,2,Liquid
2013,Yamaha,YZ450F,8490,449,DOHC 4-stroke; 4 titanium valves,Liquid-Cooled,"Yamaha Fuel Injection (YFI), Keihin 44 mm",TCI,NA,Constant-mesh 5-speed; multiplate wet clutch,58.7,39.4,"KYB Speed-Sensitive System, inverted fork: fully adjustable, 12.2-in travel",KYB Fully adjustable single shock; 12.4-in travel,"Hydraulic single disc brake, 250 mm","Hydraulic single disc brake, 245 mm",80/100-21 Dunlop Geomax MX51,120/80-19 Dunlop Geomax MX51,1.6 gal.,245 lbs. (Wet),97,60.8,12.5,245,,,1.6,Liquid
2013,Yamaha,YZ85,3990,85,2-stroke; reed-valve inducted,Liquid-Cooled,Keihin PWK 28,CDI,Electric,Constant-mesh 6-speed; multiplate wet clutch,49.5,34,"Inverted fork; fully adjustable, 10.8  travel","Single shock; fully adjustable, 11.1-in travel","Hydraulic single disc brake, 220 mm","Hydraulic single disc brake, 190 mm",70/100-17,90/100-14,1.3 gal.,157 lbs. (Wet),47.5,47.8,8.2,157,,,1.3,Liquid
